trial_name,task,condition,trial_num,model,claude_version,start_iso,duration_s,total_input,total_output,cache_read,cache_create,peak_context,turn_count,compaction_events,passed,turn_logical
trial-0-H0-task1A,1A,H0,0,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:05:46Z,12,6,87,54352,11001,16632,4,0,1,
trial-0-H1-task1A,1A,H1,0,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:05:59Z,11,6,76,56133,11968,17308,4,0,1,
trial-1-H0-task1A,1A,H0,1,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:09:22Z,12,6,83,54814,10649,16687,4,0,1,
trial-1-H1-task1A,1A,H1,1,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:09:35Z,12,6,72,56102,11957,17297,4,0,1,
trial-2-H1-task1A,1A,H1,2,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:09:47Z,12,6,69,55748,12333,17288,4,0,1,
trial-2-H0-task1A,1A,H0,2,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:10:00Z,16,6,48,54352,11117,16690,4,0,1,
trial-3-H0-task1A,1A,H0,3,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:10:16Z,16,6,48,54352,11113,16688,4,0,1,
trial-3-H1-task1A,1A,H1,3,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:12:35Z,11,6,77,56133,11968,17308,4,0,1,
trial-4-H0-task1A,1A,H0,4,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:18:41Z,18,6,48,54822,10657,16695,4,0,1,
trial-4-H1-task1A,1A,H1,4,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:18:59Z,12,6,75,55748,12333,17288,4,0,1,
trial-5-H1-task1A,1A,H1,5,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:19:12Z,12,6,76,55748,12399,17331,4,0,1,
trial-5-H0-task1A,1A,H0,5,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:19:24Z,12,6,87,54352,11003,16633,4,0,1,
trial-6-H0-task1A,1A,H0,6,claude-sonnet-4-6,"2.1.91 (Claude Code)",2026-04-23T22:19:36Z,13,6,87,54352,10959,16611,4,0,1,
